Entity,Code,Year,"Age-standardized deaths that are from infectious and parasitic diseases per 100,000 people, in both sexes aged all ages"
Belgium,BEL,1991,6.74328
Belgium,BEL,1992,7.6584115
Belgium,BEL,1993,8.600526
Belgium,BEL,1994,8.664704
Belgium,BEL,1995,9.588957
Belgium,BEL,1996,8.708357
Belgium,BEL,1997,7.96749
Belgium,BEL,1998,7.9706707
Belgium,BEL,1999,8.777727
Belgium,BEL,2000,10.865929
Belgium,BEL,2001,11.708715
Belgium,BEL,2002,12.340477
Belgium,BEL,2003,13.263774
Belgium,BEL,2004,12.77967
Belgium,BEL,2005,12.09022
Belgium,BEL,2006,10.677892
Belgium,BEL,2007,9.965309
Belgium,BEL,2008,10.029936
Belgium,BEL,2009,10.504154
Belgium,BEL,2010,10.246217
Belgium,BEL,2011,9.660404
Belgium,BEL,2012,10.103036
Belgium,BEL,2013,11.051795
Belgium,BEL,2014,9.11811
Belgium,BEL,2018,8.044822
Belgium,BEL,2017,8.044983
Belgium,BEL,2016,7.5944123
Belgium,BEL,2015,8.36284
Belize,BLZ,1964,124.17843
Belize,BLZ,1965,89.14757
Belize,BLZ,1966,79.38386
Belize,BLZ,1967,107.101974
Belize,BLZ,1968,63.852932
Belize,BLZ,1969,93.27175
Belize,BLZ,1970,71.84111
Belize,BLZ,1971,48.106407
Belize,BLZ,1972,50.791435
Belize,BLZ,1973,55.878323
Belize,BLZ,1974,57.827774
Belize,BLZ,1975,72.260185
Belize,BLZ,1976,62.052757
Belize,BLZ,1977,60.415478
Belize,BLZ,1978,50.530823
Belize,BLZ,1979,47.39708
Belize,BLZ,1980,79.98395
Belize,BLZ,1982,52.424923
Belize,BLZ,1983,74.758545
Belize,BLZ,1984,67.050446
Belize,BLZ,1986,32.823116
Belize,BLZ,1987,39.09156
Belize,BLZ,1989,36.06538
Belize,BLZ,1990,31.553867
Belize,BLZ,1991,37.049736
Belize,BLZ,1993,25.943195
Belize,BLZ,1994,38.202557
Belize,BLZ,1995,35.119747
Belize,BLZ,1996,38.136543
Belize,BLZ,1997,48.21274
Belize,BLZ,1998,70.98965
Belize,BLZ,1999,55.213863
Belize,BLZ,2000,49.903263
Belize,BLZ,2001,46.569344
Belize,BLZ,2002,70.00653
Belize,BLZ,2003,74.21699
Belize,BLZ,2004,74.10605
Belize,BLZ,2005,65.0962
Belize,BLZ,2006,62.980095
Belize,BLZ,2007,66.14676
Belize,BLZ,2008,53.90602
Belize,BLZ,2009,64.51834
Belize,BLZ,2010,64.856544
Belize,BLZ,2011,54.328503
Belize,BLZ,2012,56.96571
Belize,BLZ,2013,60.551903
Belize,BLZ,2014,49.11549
Belize,BLZ,2016,55.144768
Belize,BLZ,2015,54.6709
Bosnia and Herzegovina,BIH,1985,15.417629
Bosnia and Herzegovina,BIH,1986,14.038941
Bosnia and Herzegovina,BIH,1987,14.732982
Bosnia and Herzegovina,BIH,1988,13.222013
Bosnia and Herzegovina,BIH,1989,11.647758
Bosnia and Herzegovina,BIH,1990,10.211425
Bosnia and Herzegovina,BIH,1991,9.68357
Bosnia and Herzegovina,BIH,2011,5.6850224
Bosnia and Herzegovina,BIH,2014,5.3163214
Bosnia and Herzegovina,BIH,2020,7.4247265
Bosnia and Herzegovina,BIH,2019,7.9350457
Bosnia and Herzegovina,BIH,2018,7.7823625
Bosnia and Herzegovina,BIH,2017,7.2154922
Bosnia and Herzegovina,BIH,2016,7.844202
Brazil,BRA,1979,65.57465
Brazil,BRA,1980,62.16684
Brazil,BRA,1981,57.22358
Brazil,BRA,1982,52.161144
Brazil,BRA,1983,51.54558
Brazil,BRA,1984,55.24671
Brazil,BRA,1985,46.62054
Brazil,BRA,1986,46.085705
Brazil,BRA,1987,40.865574
Brazil,BRA,1988,40.65584
Brazil,BRA,1989,38.782803
Brazil,BRA,1990,35.88749
Brazil,BRA,1991,33.302475
Brazil,BRA,1992,33.58248
Brazil,BRA,1993,34.98937
Brazil,BRA,1994,34.70586
Brazil,BRA,1995,31.326603
Brazil,BRA,1996,39.950775
Brazil,BRA,1997,36.391823
Brazil,BRA,1998,36.250534
Brazil,BRA,1999,34.25784
Brazil,BRA,2000,32.285305
Brazil,BRA,2001,31.922064
